,y,yp
0,10469.5,11579.851492899608
1,10523.0,10428.003591283326
2,12226.0,10498.59240212249
3,9592.0,12316.294159150566
4,11031.5,9455.387482915194
5,13602.0,11041.49173122607
6,11010.5,13735.273995312677
7,11513.0,10926.712003763072
8,13487.0,11503.957100187468
9,10206.0,13607.136633760956
10,11020.0,10066.861921942598
11,13295.0,10983.808836362628
12,11861.5,13426.232760702955
13,12485.0,11842.022521075218
14,14524.0,12531.36252988198
15,10696.5,14653.282626649201
16,12785.5,10525.055987214215
