,y,yp
0,11477.5,11417.144941483462
1,11817.55,11543.178513467123
2,11158.85,11908.704732047383
3,11375.1,11174.695068542538
4,11812.5,11422.54569883935
5,10751.1,11897.811456879319
6,10405.4,10696.820851062917
7,11022.9,10373.934105146114
8,10574.6,11060.962209101383
9,10545.55,10510.02238238053
10,11058.45,10540.705955172649
11,10370.2,11108.647902326684
12,10639.95,10321.41002059246
13,10857.3,10634.545373407094
14,10744.2,10884.114846516268
15,10757.6,10740.968982334787
16,11379.25,10777.702027729101
