,y,yp
0,12102.0,11261.346684421187
1,11905.0,12237.606162147687
2,10560.0,11997.981113925394
3,10509.0,10492.197766909765
4,12059.0,10497.842710964836
5,11283.0,12201.601515125289
6,12497.0,11311.382861605129
7,13646.0,12639.261244023897
8,10997.0,13841.752699850264
9,11688.0,10919.188778986467
10,14354.0,11726.961841702827
11,12857.0,14561.204704096717
12,13684.0,12915.755039048232
13,13477.0,13821.779172534716
14,13377.0,13587.747766016058
15,12358.0,13480.809717119038
16,13515.0,12365.243560492725
