,y,yp
0,477198.0,447741.66030558525
1,535792.0,478874.0671712006
2,431935.0,541514.580356966
3,448411.0,426221.3801219343
4,481161.0,446717.1144114694
5,447142.0,482384.75737535703
6,465905.0,445114.2819810586
7,506439.0,466052.0308326568
8,495521.0,509355.2264359308
9,495035.0,497113.3232936419
10,488355.0,496426.1953694874
11,487275.0,489059.30479317147
12,484941.0,488039.7533409493
13,549661.0,485522.28279169486
14,515831.0,553877.4358167103
15,502888.0,516823.7801100836
16,532410.0,503249.84468595905
