,y,yp
0,11051.5,10719.572064078995
1,11374.4,11151.967547255048
2,12081.6,11482.112860599484
3,11417.7,12227.51090377825
4,11444.3,11472.18354243457
5,11919.0,11515.878508730879
6,11497.4,12023.290859620898
7,11641.1,11552.493600557598
8,11853.9,11713.559099777505
9,11674.9,11939.701460666447
10,11788.6,11736.466484496232
11,11709.8,11861.927603350307
12,11796.4,11772.57714887665
13,12106.2,11865.185691048562
14,13036.6,12190.111542261458
15,12089.7,13167.436564335061
16,12170.5,12113.074594327782
