,y,yp
0,2313.81,1465.4994928953363
1,2105.49,2316.905019176649
2,2191.05,2086.701045981881
3,2213.37,2180.6645432320124
4,1458.22,2204.636707390155
5,2038.53,1382.520021807879
6,2358.45,2026.0442484909852
7,1952.97,2363.9458548662597
8,2001.33,1922.010420015504
9,2347.29,1981.253833459584
10,2112.93,2350.8348213390295
11,1290.82,2096.8642121715084
12,1811.61,1216.8795196678054
13,1845.09,1788.6249447115217
14,1919.49,1824.0512072069453
15,1874.85,1904.7013465001123
16,1819.05,1856.6469157374652
