,y,yp
0,354630.0,339749.5456561439
1,366305.0,356928.6065833561
2,353958.0,368894.5072772014
3,358280.0,355329.86427168833
4,374104.0,360150.5943207477
5,401485.0,376684.7647269267
6,402124.0,405313.41728531395
7,407116.0,405734.24003487715
8,419643.0,410662.65519667685
9,407552.0,423522.2536800391
10,388979.0,410342.97015706217
11,377444.0,390083.6072362479
12,378927.0,377758.1070320327
13,365212.0,380305.8035424169
14,367142.0,364818.37604329386
15,368918.0,368039.05318821484
16,367427.0,369838.07447190816
