,y,yp
0,1546.53,1315.9781423241698
1,1584.16,1554.3799502097881
2,1845.71,1591.3651215803952
3,1623.24,1870.5261120995815
4,1626.19,1619.3348629857812
5,1507.91,1626.6182079627713
6,1542.47,1498.3652594429132
7,1405.81,1539.1833360409025
8,1399.31,1389.832943851022
9,1582.75,1388.5908111876504
10,1298.34,1587.449169677723
11,1188.28,1270.5054188158454
12,1660.67,1159.9220163401096
13,2006.44,1673.5492151242604
14,1644.43,2037.1589332923622
15,1475.61,1633.62271815414
16,1652.55,1459.1893663389917
