,y,yp
0,17275.0,18600.266206991975
1,15844.0,17440.416694725198
2,15455.0,15865.688254129853
3,14161.0,15474.855950552044
4,14964.0,14032.883618092577
5,12957.0,14969.450482327946
6,13015.8,12752.517206325716
7,16267.0,12887.855302832098
8,15707.0,16417.991833336662
9,16894.0,15763.76819662325
10,17225.0,17035.748493820523
11,19089.0,17372.978907985893
12,18982.0,19372.450825212494
13,17269.0,19227.12054879369
14,16698.0,17312.18468825228
15,15653.0,16710.84072934934
16,15490.0,15570.201774769692
