,y,yp
0,15621.0,11997.659141615772
1,12249.0,15775.522897559826
2,3659.0,12120.301904285243
3,12710.0,2889.3889481241736
4,12524.0,12768.365008704282
5,12153.0,12523.307711418593
6,11963.0,12121.703726426196
7,12410.0,11923.867284171954
8,12392.0,12402.907963131967
9,14751.0,12380.810811621286
10,13427.0,14890.238611775276
11,13444.0,13428.799535697513
12,16833.0,13461.399205415555
13,13379.0,17026.697180811956
14,4178.0,13286.528302667495
15,13750.0,3421.14310529943
16,14070.0,13839.67889005904
