,y,yp
0,33622.0,52446.80230155259
1,32397.0,32713.860186609636
2,31917.0,31797.743783693004
3,17461.0,31445.26572719679
4,28253.0,14963.88462555514
5,15700.0,27824.027597139215
6,16000.0,13644.401830390972
7,24300.0,14480.143124931716
8,39500.0,23948.060910566364
9,15500.0,40881.44496676949
10,33900.0,12802.535205480777
11,52000.0,34350.15286308659
12,33500.0,53856.77155407013
13,37300.0,32684.033760508282
14,29100.0,37301.211367897864
15,16900.0,28220.171223547604
16,32000.0,14774.413188019282
