,y,yp
0,11811.1,11646.701407746596
1,11955.7,11788.86057673773
2,11940.1,11950.798246032331
3,11635.3,11929.050271757664
4,11550.8,11583.463138560726
5,11452.9,11503.17181359373
6,11459.6,11402.444664451803
7,11412.9,11417.590773951106
8,11404.0,11370.175482427048
9,11386.2,11365.868075733086
10,11337.2,11350.060462347494
11,11346.1,11299.16192626685
12,11553.0,11312.882736877957
13,11706.5,11540.12257175204
14,11644.2,11706.57993071088
15,11194.8,11634.544041924362
16,11034.7,11138.743952598827
