,y,yp
0,16710.3,17514.065622922266
1,16603.4,16651.86627658659
2,19434.2,16543.84453744373
3,14681.0,19590.793335126924
4,8733.52,14275.903159487601
5,17556.5,7904.385269309725
6,16829.6,17650.15143167589
7,16741.3,16811.88595598136
8,15511.1,16696.831173059498
9,17243.4,15359.494262394152
10,16062.8,17248.890914686206
11,17371.4,15946.885287420668
12,18121.9,17380.391805051506
13,16077.7,18174.163774584184
14,18863.8,15925.615507434655
15,15256.3,18955.279874023316
16,7559.2,14980.818359746945
