,y,yp
0,18152.7,19543.017291201017
1,16209.0,18112.172884557185
2,18881.0,15926.657894054173
3,21149.8,18899.96643309582
4,17825.2,21314.84811840679
5,15936.3,17598.402841703894
6,18102.6,15626.393203059439
7,18348.5,18040.643629249225
8,26809.5,18298.687479568263
9,24481.3,27352.61304158548
10,21303.6,24660.95166602658
11,20669.7,21171.425073786762
12,18213.3,20579.563946743387
13,21078.7,17900.017832141966
14,18953.2,21093.75469698233
15,19117.5,18740.79463990557
16,13955.4,19001.348508912157
