,y,yp
0,9893.42,9314.915958870864
1,9952.17,9906.509753770384
2,10071.49,9966.459667073406
3,9904.12,10091.466971228043
4,9883.83,9904.31681427786
5,9864.35,9888.15055715014
6,9892.9,9867.004960381435
7,9939.84,9899.938814133566
8,10077.54,9950.647168311907
9,10063.0,10095.448009579193
10,10029.81,10077.254073625914
11,10170.44,10038.799437624057
12,10167.84,10188.936283487837
13,10299.6,10183.86732404433
14,10603.1,10322.556110259811
15,10490.7,10643.414413135095
16,10473.94,10512.567625130701
