,y,yp
0,211685.0,44032.19150843099
1,111051.0,207641.4987973333
2,159814.0,90161.52762703777
3,154763.0,150908.57590913738
4,54732.0,146058.3095300536
5,429236.0,33787.61741743122
6,269334.0,448085.9212453235
7,230798.0,262410.81239283754
8,215776.0,223794.39679908645
9,135893.0,209032.51132068483
10,79313.0,121499.75779804884
11,179056.0,63266.944898479705
12,103391.0,174922.1017335591
13,113474.0,89690.34751614777
14,169149.0,103979.60773173609
15,90607.0,165705.55981629743
16,47421.0,77783.79812026958
