,y,yp
0,10042.0,9957.250581429238
1,10166.0,10112.788539359279
2,10248.0,10239.167082616172
3,10330.0,10319.502556109599
4,10354.0,10400.7750010675
5,10402.0,10417.696894164721
6,10471.0,10467.561024283392
7,10677.0,10535.296486649519
8,10766.0,10748.894251929029
9,10868.0,10836.716102970837
10,10953.0,10939.37370999174
11,11051.0,11023.864191780876
12,11134.0,11122.600634647473
13,11224.0,11205.785516114816
14,11285.0,11295.660429706011
15,11336.0,11355.3377693987
16,11386.0,11405.270781297952
