,y,yp
0,16808.0,17055.79857548349
1,16498.0,16957.336066549746
2,16654.0,16602.86287299871
3,15799.0,16776.491125990266
4,17958.0,15799.702941982934
5,17091.0,18163.300340284266
6,18570.0,17180.204217182414
7,19729.0,18772.97176271783
8,16058.0,19992.473775981274
9,16045.0,15944.74009760668
10,20597.0,16015.856857773033
11,19656.0,20886.85221001152
12,19539.0,19839.410468747472
13,18569.0,19706.697691079313
14,19159.0,18651.73166661502
15,17773.0,19299.658489507263
16,19795.0,17789.562741818885
