,y,yp
0,30500.7,31694.632767441803
1,31244.9,30553.19280105814
2,34218.5,31357.236571569465
3,27936.5,34541.16102069041
4,12270.6,27551.885147961333
5,30589.3,10507.98236661191
6,32453.6,30859.11239339841
7,31561.2,32705.475303718555
8,29891.0,31682.208527524603
9,31567.3,29841.377630881932
10,29718.3,31668.198616202397
11,32096.0,29629.016539862612
12,33856.4,32222.953811962932
13,30601.5,34089.00516832342
14,32791.3,30493.814524861118
15,29724.4,32913.643837721174
16,11093.9,29558.58880745605
