,y,yp
0,14094.9,17891.767727788738
1,18916.5,13558.284459712417
2,20267.7,19071.46318764803
3,17139.6,20506.674771352526
4,17398.8,16949.52798105849
5,22748.0,17325.734843034974
6,21091.4,23203.50525751475
7,26412.8,21253.768765056637
8,26662.7,27007.110148623364
9,24413.8,27160.437152386785
10,25616.9,24645.745247933322
11,19444.0,25961.89192671287
12,12262.4,19032.181776723428
13,21452.3,11209.428784859718
14,22562.9,21757.488713314466
15,24580.4,22836.71899808716
16,24376.8,24976.20074033622
