,y,yp
0,17886.6,13423.287014282194
1,12552.9,18102.387287397753
2,4146.68,12314.986412034057
3,14253.4,3360.776122705135
4,13069.9,14330.805270082708
5,13427.7,13016.50523920782
6,13347.0,13401.394824320896
7,14062.4,13315.237142882665
8,13540.4,14075.817492670198
9,16290.8,13509.966653303432
10,14201.4,16429.001869749896
11,15022.1,14154.928480389259
12,19274.9,15056.728232789888
13,13710.2,19516.62902723455
14,4734.4,13474.295625404115
15,14719.3,3984.8870357599153
16,15382.4,14776.746484507696
