,y,yp
0,11722.0,11714.80895188131
1,11815.0,11795.456112378708
2,11917.0,11888.841738148554
3,11917.0,11991.816153686064
4,11989.0,11980.199262216665
5,11994.0,12056.342776293519
6,12016.0,12052.879748591373
7,12083.0,12070.852203887007
8,12135.0,12143.616079494854
9,12237.0,12197.127851707071
10,12537.0,12303.703531474615
11,12520.0,12611.56679386861
12,12675.0,12582.152015265394
13,12771.0,12747.331583326051
14,12908.0,12844.04417305154
15,13002.0,12983.774669523966
16,13082.0,13077.783962068113
