,y,yp
0,12410.6,14061.407060830692
1,14881.9,12217.74293892212
2,19728.5,14888.368722254443
3,18504.0,20042.945026590016
4,19693.3,18663.26520292785
5,17278.0,19875.650597106312
6,8099.51,17281.604613363506
7,17805.5,7428.835060201093
8,16683.4,17974.188637314943
9,14351.2,16707.520786590605
10,12770.3,14159.646958498579
11,13182.7,12525.610138499767
12,16755.3,13034.4446196178
13,21163.9,16882.705502280955
14,19728.5,21467.221584175226
15,18504.0,19880.07834867936
16,19693.3,18557.340173641274
