,y,yp
0,11328.0,10166.66336665387
1,10757.0,11395.731875762493
2,11773.0,10747.509965264038
3,10741.0,11857.952196874412
4,11712.0,10706.593845752843
5,10937.0,11781.502935703105
6,12132.0,10920.71020145965
7,11743.0,12220.860313470717
8,10361.0,11780.753000933759
9,10433.0,10247.474583030566
10,12572.0,10391.953435434396
11,11786.0,12688.272485572088
12,11384.0,11812.338502827291
13,11891.0,11388.383783840862
14,10963.0,11941.10366960662
15,10534.0,10923.859604305535
16,11135.0,10478.74420070103
