,y,yp
0,16351.0,16859.362733967115
1,17362.0,16276.0089501566
2,14497.0,17378.066883315376
3,14803.0,14260.523591025156
4,16345.0,14659.056018191737
5,18052.0,16332.057771776175
6,18355.0,18151.86433732489
7,18125.0,18449.796377978993
8,21438.0,18188.120059958906
9,20486.0,21681.333676926883
10,19067.0,20637.90321962413
11,18761.0,19094.879556833035
12,15703.0,18789.867477634896
13,18361.0,15489.508600069359
14,15870.0,18395.81340320566
15,15110.0,15692.71972165105
16,18350.0,14949.100272945921
